Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chandigarh, India",07-01-2019,38.8,31.3,34.1,48.6,12,0,0,9.7,199.13,3.9,19.3,53.24,Rain
"Chandigarh, India",07-02-2019,38.1,29.8,34.7,47.4,0,0,0,22.3,198.89,5,14.1,48.17,Clear
"Chandigarh, India",07-03-2019,37.7,30.3,34.4,53.6,0.7,0,0,6.8,160.13,2.6,29.6,64.48,"Rain, Partially cloudy"
"Chandigarh, India",07-04-2019,32.8,25,29,44.5,51.91,0,0,7.2,121,4,68.4,82.86,"Rain, Partially cloudy"
"Chandigarh, India",07-05-2019,35.7,27.2,31.4,46,0.75,0,0,4.9,152.33,3.5,50,74.78,"Rain, Partially cloudy"
"Chandigarh, India",07-06-2019,35.8,28.4,30.6,46.7,39.91,0,0,12,139.56,4.4,54.6,78.17,"Rain, Partially cloudy"
"Chandigarh, India",07-07-2019,36.1,28.1,32.1,43.7,49.2,0,0,13,161.07,5.9,50.1,70.59,"Rain, Partially cloudy"
"Chandigarh, India",07-08-2019,35.1,27.1,30.6,46.1,75.85,0,0,29.5,148.61,5.8,60.9,80.77,"Rain, Partially cloudy"
"Chandigarh, India",07-09-2019,31,24.1,28.6,47.5,81.67,0,0,24.1,138.71,5.3,70.5,97.02,"Rain, Partially cloudy"
"Chandigarh, India",07-10-2019,33.1,26.1,29.3,48.1,54.93,0,0,14.8,213.56,5.2,75.9,96.14,"Rain, Overcast"
"Chandigarh, India",07-11-2019,31.1,22.1,27.7,49.3,13.06,0,0,32.8,154.36,4.8,65.7,99.35,"Rain, Partially cloudy"
"Chandigarh, India",07-12-2019,33.1,25.1,29,51.4,20.42,0,0,20.5,168.61,4.1,64.4,96.42,"Rain, Partially cloudy"
"Chandigarh, India",07/13/2019,32.1,23.2,27.3,54.4,29.03,0,0,20.5,145.93,4.6,51.4,98.51,"Rain, Partially cloudy"
"Chandigarh, India",07/14/2019,28.1,22.1,24.4,35.8,116.05,0,0,18.4,150.41,4.1,58.4,98.86,"Rain, Partially cloudy"
"Chandigarh, India",07/15/2019,29.1,23.1,26.6,39.9,54.74,0,0,14.8,150.7,5.2,76.3,99.3,"Rain, Overcast"
"Chandigarh, India",07/16/2019,28.1,23.1,25.2,35.8,68.54,0,0,13.6,148,4.3,65.6,99.52,"Rain, Partially cloudy"
"Chandigarh, India",07/17/2019,30.1,24.1,27.4,44.4,15.67,0,0,13,143.5,5.2,83.9,98.7,"Rain, Overcast"
"Chandigarh, India",07/18/2019,32,26,28.1,44.4,0.91,0,0,13,145.38,5.4,64.5,95.05,"Rain, Partially cloudy"
"Chandigarh, India",07/19/2019,31.1,27.1,29,49.3,12.87,0,0,13,153,5.2,62.6,98.89,"Rain, Partially cloudy"
"Chandigarh, India",07/20/2019,33.1,27.1,29.8,51.4,6.2,0,0,10.7,138.91,5.3,68.1,95.46,"Rain, Partially cloudy"
"Chandigarh, India",07/21/2019,34.1,27.1,30.2,55.1,10.8,0,0,17.1,155.58,5.6,44.9,92.29,"Rain, Partially cloudy"
"Chandigarh, India",07/22/2019,35.1,27.1,31.4,52.3,2,0,0,13,236.31,5.9,53,83.42,"Rain, Partially cloudy"
"Chandigarh, India",07/23/2019,36.1,28.1,32.1,55.3,9,0,0,13.6,256.05,5.2,35.3,84.4,"Rain, Partially cloudy"
"Chandigarh, India",07/24/2019,36.1,28.1,31.8,58.3,1,0,0,27.7,235.25,4.6,30.7,89.28,"Rain, Partially cloudy"
"Chandigarh, India",07/25/2019,29.1,26.1,27.2,39.9,15.33,0,0,18.5,140.68,4.5,86.1,98.71,"Rain, Overcast"
"Chandigarh, India",07/26/2019,31.1,24.7,27.5,49.3,104.4,0,0,13,145.78,5.5,77.7,98.93,"Rain, Overcast"
"Chandigarh, India",07/27/2019,30.1,26.1,28.1,44.4,48.21,0,0,24.1,135.84,5.7,88.2,97.89,"Rain, Overcast"
"Chandigarh, India",07/28/2019,34.1,27,30,52.3,13.4,0,0,16.8,119.58,5.7,79.9,93.22,"Rain, Overcast"
"Chandigarh, India",07/29/2019,34.7,28,30.8,52.3,3,0,0,14.8,158.84,5.8,62.1,90.36,"Rain, Partially cloudy"
"Chandigarh, India",07/30/2019,30.1,26.1,28.5,44.4,6.73,0,0,15.4,94.47,5.7,90.5,96.47,"Rain, Overcast"
"Chandigarh, India",07/31/2019,29.1,24.9,27.5,39.9,14.62,0,0,9.4,152.9,5.7,88.8,98.16,"Rain, Overcast"
"Chandigarh, India",08-01-2019,33.1,27,29.4,50.6,7,0,0,11.2,160.45,5.4,84.4,94.5,"Rain, Overcast"
"Chandigarh, India",08-02-2019,28.2,24.1,26.8,35.8,43.94,0,0,18.4,125.43,5.4,77.1,99.27,"Rain, Overcast"
"Chandigarh, India",08-03-2019,32.1,26.1,28.5,54.4,0.4,0,0,16.6,134.31,5,56,98.24,"Rain, Partially cloudy"
"Chandigarh, India",08-04-2019,34.1,26.1,30.1,53.3,55,0,0,8.6,150,5.5,43.3,88.28,"Rain, Partially cloudy"
"Chandigarh, India",08-05-2019,33.8,27,30.6,44.8,14,0,0,3.3,109.83,4,70.5,77.77,"Rain, Partially cloudy"
"Chandigarh, India",08-06-2019,31.8,26.3,28.9,44.4,59.12,0,0,20.5,128.33,5.4,66.9,94.86,"Rain, Partially cloudy"
"Chandigarh, India",08-07-2019,34.1,27.1,30.1,55.1,0.7,0,0,13.2,192.45,5.8,85.2,94.3,"Rain, Overcast"
"Chandigarh, India",08-08-2019,35,27.2,31.1,55.1,0.9,0,0,9.4,152.57,5.9,82.3,90.09,"Rain, Overcast"
"Chandigarh, India",08-09-2019,31.1,25.1,28.7,49.3,5.83,0,0,9.4,139.92,5.2,73.4,95.54,"Rain, Partially cloudy"
"Chandigarh, India",08-10-2019,33.2,27.1,29.6,56.9,2.2,0,0,22.3,127.2,5.8,71,96.44,"Rain, Partially cloudy"
"Chandigarh, India",08-11-2019,34.1,27.1,30.5,65.8,11.2,0,0,11.2,133.06,5.7,63.5,97.93,"Rain, Partially cloudy"
"Chandigarh, India",08-12-2019,34.1,28,30.5,65.8,13.2,0,0,13.8,279.13,5.3,68.6,94.97,"Rain, Partially cloudy"
"Chandigarh, India",08/13/2019,33.1,28.1,30.5,59.9,36,0,0,20.5,272.14,5.2,79.8,96.78,"Rain, Overcast"
"Chandigarh, India",08/14/2019,33.1,25.1,29.1,59.9,29.47,0,0,22.3,143,5.3,79.9,98.5,"Rain, Overcast"
"Chandigarh, India",08/15/2019,32.1,27.1,29,52,22.81,0,0,13,155.9,5.2,77,99.02,"Rain, Overcast"
"Chandigarh, India",08/16/2019,32.1,26.1,28.1,54.4,67.28,0,0,13,106.88,5.2,79.9,99.21,"Rain, Overcast"
"Chandigarh, India",08/17/2019,29,25.1,26.7,38.9,62.64,0,0,16.7,137.15,4.9,65.3,99.42,"Rain, Partially cloudy"
"Chandigarh, India",08/18/2019,29.1,24.1,25.6,39.9,91.03,0,0,44.6,123.82,4.2,82.2,99.21,"Rain, Overcast"
"Chandigarh, India",08/19/2019,33.1,24.1,28,59.9,43.73,0,0,13.6,105.8,5.6,61.2,98.3,"Rain, Partially cloudy"
"Chandigarh, India",08/20/2019,33.1,24.1,28.7,54.4,0,0,0,18.4,321.17,6,44.7,97.26,Partially cloudy
"Chandigarh, India",08/21/2019,34.1,25.1,29.4,59.9,0,0,0,18.4,317.55,6.1,35.1,95.28,Partially cloudy
"Chandigarh, India",08/22/2019,33.2,24.1,28.6,44.4,10,0,0,11.2,164.67,5.8,40.5,82.25,"Rain, Partially cloudy"
"Chandigarh, India",08/23/2019,35.1,26.1,29.5,51.2,19.53,0,0,14.6,180.17,5.7,56,81.06,"Rain, Partially cloudy"
"Chandigarh, India",08/24/2019,33.1,26.1,28.2,44.2,0.21,0,0,22.3,153.92,4.8,65.4,87.7,"Rain, Partially cloudy"
"Chandigarh, India",08/25/2019,29.1,24.1,26.8,38.4,73.35,0,0,13,125.8,4.5,85,90.88,"Rain, Overcast"
"Chandigarh, India",08/26/2019,37.1,26.1,30.5,46.1,9.7,0,0,9.4,219.07,6.2,72.5,76.31,"Rain, Partially cloudy"
"Chandigarh, India",08/27/2019,36.1,27.1,31.1,44.9,0,0,0,11.2,292.14,5.7,47.7,73.02,Partially cloudy
"Chandigarh, India",08/28/2019,35,27.1,30.3,50.6,0,0,0,7.6,275,4.8,36.6,82.86,Partially cloudy
"Chandigarh, India",08/29/2019,32.5,27.4,30.1,41.6,0.1,0,0,3.6,131.67,3.7,73.4,80.02,"Rain, Partially cloudy"
"Chandigarh, India",08/30/2019,34.3,28.1,30.7,43.9,3,0,0,3.5,240.2,3.7,59.6,75.96,"Rain, Partially cloudy"
"Chandigarh, India",08/31/2019,34.8,28.1,31.3,43.8,0,0,0,7,303.33,3.7,45.3,75.04,Partially cloudy
"Chandigarh, India",09-01-2019,31.1,27.3,29.1,39.3,76.9,0,0,11.2,128.27,5.1,90.7,80.48,"Rain, Overcast"
"Chandigarh, India",09-02-2019,36.1,26.1,30,55.8,2,0,0,13,299.83,5.4,68.6,79.06,"Rain, Partially cloudy"
"Chandigarh, India",09-03-2019,35.1,27.1,31,50.6,0,0,0,13,276.08,5,46.1,79.93,Partially cloudy
"Chandigarh, India",09-04-2019,32.1,27.1,28.8,42.5,32.27,0,0,14.8,140.15,4.1,65.6,86.99,"Rain, Partially cloudy"
"Chandigarh, India",09-05-2019,32.2,25.8,28.1,42.3,73.24,0,0,18.4,164.25,4.3,66.5,89.22,"Rain, Partially cloudy"
"Chandigarh, India",09-06-2019,33.4,26.4,30.2,43.2,2,0,0,4.8,227.5,3.9,42.2,78.01,"Rain, Partially cloudy"
"Chandigarh, India",09-07-2019,33.2,27.1,30.2,42.2,0,0,0,5.2,130.8,3.8,44.1,78.18,Partially cloudy
"Chandigarh, India",09-08-2019,33.8,28,30.5,44.8,2,0,0,5.3,220.67,3.9,59.5,77.48,"Rain, Partially cloudy"
"Chandigarh, India",09-09-2019,34.2,27,30.3,42.7,0,0,0,3.5,309.4,3.9,35.4,77.63,Partially cloudy
"Chandigarh, India",09-10-2019,34.8,27.2,31.2,45.4,0,0,0,3.4,276.75,3.9,36.5,75.88,Partially cloudy
"Chandigarh, India",09-11-2019,35.5,28.2,31.5,47.7,0,0,0,7,236.8,3.3,38.7,77.5,Partially cloudy
"Chandigarh, India",09-12-2019,33.9,29,30.9,48.8,0,0,0,11.2,142.09,3.8,50.9,80.87,Partially cloudy
"Chandigarh, India",09/13/2019,33.8,27.1,30.2,54.4,0,0,0,12,184,4.9,64.3,84.85,Partially cloudy
"Chandigarh, India",09/14/2019,34.1,26.1,30.2,55.1,1,0,0,16.6,150.69,5.2,52.3,88.05,"Rain, Partially cloudy"
"Chandigarh, India",09/15/2019,35.1,27.9,30.3,49.5,0,0,0,11.2,186.44,5.6,53.2,84.04,Partially cloudy
"Chandigarh, India",09/16/2019,35.1,25.1,30,45.9,0,0,0,16.6,290.23,5.2,38.7,79.3,Partially cloudy
"Chandigarh, India",09/17/2019,35.1,26.8,30.6,51.4,0,0,0,13,201.94,5.2,39.2,79.53,Partially cloudy
"Chandigarh, India",09/18/2019,34.1,27,29.2,42.1,0,0,0,13,148.83,4.8,46.1,78.2,Partially cloudy
"Chandigarh, India",09/19/2019,31.1,26,28.6,36.7,43,0,0,18.7,134.13,5.8,69.5,76.42,"Rain, Partially cloudy"
"Chandigarh, India",09/20/2019,34.1,24.9,29.4,40.8,6,0,0,9.4,221.79,5.7,48.3,70.13,"Rain, Partially cloudy"
"Chandigarh, India",09/21/2019,33,25.9,28.5,39,5,0,0,11.6,254.33,5.5,46.2,76.29,"Rain, Partially cloudy"
"Chandigarh, India",09/22/2019,33.1,25.1,27.9,36.3,30.79,0,0,18.4,129.21,5.2,45.4,77.35,"Rain, Partially cloudy"
"Chandigarh, India",09/23/2019,34.1,24.9,29.1,38.9,3,0,0,9.4,241.93,6.2,32.1,70.97,"Rain, Partially cloudy"
"Chandigarh, India",09/24/2019,34.1,25.9,29.4,40.7,0.3,0,0,8.5,249,5.2,36.3,74.23,"Rain, Partially cloudy"
"Chandigarh, India",09/25/2019,31.7,26.2,28.6,37.4,4,0,0,5.1,200.29,3.2,59.7,75.05,"Rain, Partially cloudy"
"Chandigarh, India",09/26/2019,32.7,25.4,28.9,39.9,21.41,0,0,13.2,163.56,5.2,57.8,80.97,"Rain, Partially cloudy"
"Chandigarh, India",09/27/2019,31.1,22.9,27.1,37.4,34.42,0,0,9.4,186.19,5.3,44.2,87.29,"Rain, Partially cloudy"
"Chandigarh, India",09/28/2019,32.1,23.9,26.8,38,16.1,0,0,22.3,170.21,5.1,48.5,87.05,"Rain, Partially cloudy"
"Chandigarh, India",09/29/2019,25.1,21.9,23.7,32,54.26,0,0,24.1,109.61,4.4,86.6,97.59,"Rain, Overcast"
"Chandigarh, India",09/30/2019,29.1,23.9,25.9,34.7,35.63,0,0,22.3,136.43,5.6,67.8,90.54,"Rain, Partially cloudy"
